comentario_p1,previsao,probabilidade_de_acerto
muita demora no inicio do atendimento ate o procedimento!,QUEIXA,97.12%
"o recepcionista deixou a desejar, meu nome nao estava no mapa pra fazer a cirurgia, minha prima teve que ir falar com o responsavel pra poder colocar meu nome enquanto isso eu estava com fome , sede passei 24hrs sem comer e beber nada , passei mal",QUEIXA,97.9%
muita demora no atendimento,QUEIXA,98.07%
muita demorado pra ser atendido,QUEIXA,97.68%
nao tive apoio de ninguem,QUEIXA,97.64%
demora de quase 12 horas com dor pra realizar uma tomografia,QUEIXA,98.08%
olha e uma avaliacao mesmo?,OUTROS,83.08%
digo 4,OUTROS,85.24%
demora no atendimento,QUEIXA,97.91%
por se tratar de um convenio a gente espera que seja um pouco melhor do que o sus na verdade la parece um sus a unica coisa que tem de melhor e que fazem os exames com mais agilidade fora isso e a mesma coisa,QUEIXA,96.54%
minha mae nao foi operada simplesmente assim,QUEIXA,93.33%
"a chegada foi boa , a minha insatisfacao e do maqueiro a pos a cirurgia",OUTROS,89.08%
"passei mais de trinta horas aguardando para fazer a cirurgia, tinha marcado para 06 00 da manha e so fui fazer apos as 22hs, com muita insistencia, pois queriam me mandar para casa e retomar no dia seguinte, isso ja as 19 00 aguardando",QUEIXA,98.27%
"primeiro, que a minha cesaria estava marcada pra uma data e na chegada da recepcao fui informado que nao estava incluida no mapa das cirurgias que seriam realizadas naquele dia. a atendente nao me atendeu direito. e quanto ao maqueiro, apos a minha cirurgia fiquei uma meia hora aguardando por ele para me levar ate a sala de recuperacao, pois o mesmo estava dormindo. e uma enfermeira que me acompanhou ate esse momento, apos o parto era super ignorante.",QUEIXA,98.23%
respondi errado!,ELOGIO,91.6%
"quando cheguei a recepcionista mandou eu sentar e esperar e nao falou mais nada. perguntei a uma outra mae como foi o tramite e ela falou que tinha q da o nome la na recepcao. veio outra recepcionista e fez o tramite, se nao tivesse ido atras tinha ficado plantada la",QUEIXA,97.61%
"fui transferida da pa caxanga para realizar uma cirurgia emergencial na madrugada, ao chegar na recepcao fomos barradas eu e minha acompanhante na qual fomos informados que nao tinha vaga, foi levada para sala vermelha e na porta a moca disse que nao tinha leito, me levaram para bloco cirurgico, chegando la me informaram que nao tinha como ficar la, e que nao havia medico, o medico que estava sob aviso nao estava no hospital e disseram que so poderia realizar a cirurgia pala manha com o cirurgiao de plantao. entrei em desesper, porque alem de nao ter leito, nao tinha medico e queriam me colocar em uma cadeira de espera no bloco cirurgico. nao acertei pois estava com dor e amanhecer o dia sentada era desumano. liguei para policia e me orientaram de quando eu me recuperar prestar um b. o. entao os funcionarios me colocaram dentro do bloco cirurgico deitada. ao amanhecer o dia, fui preparada para cirurgia e me falaram que eu seria a primeira a realizar o procedimento. foi passando as horas entrando varias pessoas e eu fui ficando para tras, comecei a entrar em desespero e chorar desesperadamente, pois estava de jejum desdo sabado por conta da colonoscopia que tinha realizado no domingo, que por sinal, foi depois desse exame que passei muito mal. falei com o medico, ele me informou que meu nome nao esta no sistema. depois de muito falar e comecar a cobrar, por volta de 12 00 chegou uma moca com um notebook para colocar minha digital, para minha surpresa, nem cadastro eu tinha, estava jogada la, esquecida. logo depois fui chamada para sala de cirurgia, e ouvi o horario que fui anestesiada 12 35, se nao me falha a memoria. apos acordar, por volta das 17 00 ouvi quando os funcionarios diziam que nao haviam leitos para tantas pessoas que estavam. e para minha surpresa novamente estava sem leito para eu ser transferida para apto, ja proximo a troca de plantao, ouvi claramente meu nome ser falado que maria claudia e mais outras duas pessoas estavam sem leito. chamei a enfermeira e pedi para falar com minha irma que desde 6 00 da manha nao tinha contato com ninguem da minha familia. a enfermeira disse que nao poderia entrar, mandei um recado para ela ligar para fulaninha. assim a funcionaria fez. minha irma ligou para fulana e explicou toda situacao a essa pessoa que tem muita influencia no hapvida, apos minha irma relatar minha situacao, as coisas mudaram, rapidamente fui transferida para o quarto. passei momentos horriveis dentro do hospital, vulneravel sem poder falar com a familia, pelo que me informaram, minha cirurgia era emergencial. enfim, estou me recuperando e logo vou resolver como farei com esse assunto. fui fazer um exame, fiquei mal, fui desumanizada, fiz cirurgia e preciso saber o que realmente de fato ocorreu, porque cada medico dizia uma coisa diferente. isso e muito serio!!! ass maria claudia",QUEIXA,98.33%
"o totem nao funciona corretamente para a opcao retorno, nao tinha ninguem para auxiliar e o porteiro estava ausente da sua posicao e nao tinha que liberasse a entrada e eu com fortes dores, a unica satisfacao que eu tenho dos itens acima e a recepcionista que me atendeu.",QUEIXA,97.51%
demora no atendimento,QUEIXA,97.91%
muito cheio,OUTROS,88.64%
"desculpe apertei errado, na realidade fiquei bem satisfeita seria o 5",ELOGIO,99.22%
cheguei na recepcao iria fazer um ultrassom porem comecou a vazar pus com sangue. a atende da recpcao disse que teria que abrir a ficha nao dei importancia e entrei direto na emergencia ate porque avisei pra ela que tava vazando sangue e pus,QUEIXA,96.73%
pouco caso das mocas da recepcao... demora demais pra atender na recepcao..,QUEIXA,98.14%
demora,QUEIXA,98.06%
"ao chegar no hospital nao tinha ninguem para recepcionar e so fiquei sabendo onde ir, pq fui perguntando.",QUEIXA,97.92%
errado,ELOGIO,91.6%
"ao chegar na unidade, nao nos passam as informacoes necessarias e a atencao devida. sendo em um hospital maternidade, esse ponto deixa bastante a desejar. passei mais de horas aguardando na recepcao para me internar. fiz uma reclamacao para ao menos disponibilizarem uma cadeira mais confortavel pra mim. e as profissionais nao colaboraram muito",QUEIXA,98.05%
parecia que nem havia ninguem chegamos retiramos a pulseira no totem sozinhos e entramos direto para a pediatria no 3 andar,QUEIXA,97.38%
nao tinha porteiro e nem recepcionista no local,QUEIXA,97.45%
"por que ficamos no sala de pronto atendimento 3 dias e nao disponibilizarao nenhum quarto para uma paciente de 83 anos o acompanhante nao tem direito nem de uma xicara de cafe vamos la, a insatisfacao seria com o hospital em si, minha mae ficou em observacao durante 3 dias, a paciente foi bem assistida, porem a situacao com o acompanhante foi bem diferente, nao tinhamos assistencia alguma, nenhum lugar aonde descansar durante o acompanhamento, nao foi oferecido nem um copo de agua, nos filhos somos quem pagam e seguem a vida de uma senhora de 83 anos e achamos um descaso com quem esta la participando de um momento tao fragil que e estar em um hospital, bem diferente do tratamento que tinhamos antigamente no hospital. vamos la, a insatisfacao seria com o hospital em si, minha mae ficou em observacao durante 3 dias, a paciente foi bem assistida, porem a situacao com o acompanhante foi bem diferente, nao tinhamos assistencia alguma, nenhum lugar aonde descansar durante o acompanhamento, nao foi oferecido nem um copo de agua, nos filhos somos quem pagam e seguem a vida de uma senhora de 83 anos e achamos um descaso com quem esta la participando de um momento tao fragil que e estar em um hospital, bem diferente do tratamento que tinhamos antigamente no hospital.",QUEIXA,97.91%
foi errado,OUTROS,89.38%
ele nao fez nenhuma cirurgia e faleceu a 1 mes,QUEIXA,93.67%
atendimento pessimo comecando da recepcao e piora no atendimento medico,QUEIXA,97.25%
bom eu ja fiz a minha reclamacao no sac da hapvida e ja tive o retorno do hospital,QUEIXA,90.59%
a espera na recepcao demorou muito,QUEIXA,97.84%
"ausencia de espacos sala especifico para o parto normal. no momento da alta hospitalar, saimos pela porta de entrada do hospital, gerando muito desconforto visto que pessoas doentes e criancas estavam ali .",QUEIXA,95.95%
"nao tinha porteiro, recepcionista grossa e nao da atencao ao cliente,o maqueiro era mudo com o fone de ouvido",QUEIXA,97.61%
"falta de maca, ficou sentada em uma cadeira.",QUEIXA,97.94%
coloquei errado seria o numero 4,OUTROS,81.71%
atendimento nao cordial,QUEIXA,95.95%
foi errado,OUTROS,89.38%
demora para acomodacao,QUEIXA,97.46%
"minha insatisfacao nao e pelos profissionais, mas sim pelo tempo de espera. nos pedem para chegar as 5 00 horas da manha, sendo que a recepcionista so chega as 6 00 horas e so entramos as 7 00 para preparacao do procedimento.",QUEIXA,98.19%
a demora no atendimento a casos serios,QUEIXA,97.91%
"me dirigi a recepcionista, perguntei se era la que fazia a cirurgia. disse que sim. nao nos orientou como deviamos proceder, levantei mais uma vez para perguntar se iam chamar, disse que sim. acredito que recepcao e a porta de entrada de tudo. pessoas com boa comunicacao, que saibam orientar e primordial para evitar estresses, em casos que se tenham que esperar por muito tempo.",QUEIXA,97.78%
"porque tivemos que passar por toda a triagem de novo, visto que, estavamos chegando de uma remocao do hospital hapvida em frente ao cruzeiro do sul.",QUEIXA,95.65%
nao consegui tirar a senha no totem e demorou muito para ser liberado a minha entrada,QUEIXA,97.47%
nao houve cirurgia e sim internacao,QUEIXA,96.78%
falta de informacao,QUEIXA,97.84%
demora para conseguir uma cadeira de rodas,QUEIXA,98.19%
"o totem, nao funcionou.",QUEIXA,97.25%
"fui muito mal atendida pele atendente, grossa e me deixou aguardando sem me dar nenhum justificativa, quando trocou o plantao, a que entrou foi muito gentil e me explicou o porque me deixaram aguardando",QUEIXA,94.65%
meu filho com 30 dias de vida nao tiveram a coragem de colocarem ele na prioridade. um recem nascido com a mae lactante tem prioridade absoluta ma frente de outras criancas mais velhas,QUEIXA,96.5%
"a internacao foi as 8hrs, com jejum de 8hrs, e a cirurgia so foi realizada as 16hrs da tarde, nesse tempo todo sem comer e sem saber ao certo o horario da cirurgia.",QUEIXA,97.88%
apertei errado. era opcao 4 satisfeito,ELOGIO,95.33%
"falta de melhor orientacao, lerdeza no atendimento",QUEIXA,96.64%
nao tinha ninguem para ajudar no totem,QUEIXA,98.08%
muito bem atendido do comeco ao final,ELOGIO,91.28%
"desculpe ,,, 4",ELOGIO,91.67%
nao tenho interesse,OUTROS,82.79%
"apos o procedimento cirurgico, fiquei no ps mais de tres horas esperando o convenio liberar a autorizacao para subir pro quarto",QUEIXA,97.86%
demora ao procedimento da triagem,QUEIXA,97.17%
"meu pai passou em atendimento no ps apos a medica falar que teria que ficar internado, demorou horas para subir para o quarto, ele com abssesso na nadega, doendo horrores para ficar sentado, teve que ficar na cadeira do ps ate as 5 00 da manha, quase 6 00 a qual subiu para o quarto. fora que apos a cirurgia foi realizado a biopsia e ate o momento ninguem encontra o resultado. realmente um descaso com o paciente.",QUEIXA,98.15%
foi solicitado que chegasse 22 h para internacao e so foram nos atender 24 30,QUEIXA,95.59%
falta de gente na recepcao muita demora no atendimento,QUEIXA,98.19%
nn recebe ajuda nenhuma vc faz tudo sozinho enquanto as atendentes ficam conversando e usando celular,OUTROS,51.68%
"cheguei no hospital as 6 hs ,fiquei aguardando ate as 12 hs pr ir na preparacao da cirurgia que comecou as 14 hs.",QUEIXA,97.44%
"olha e muita burocracia pra pouco atendimento vcs so quem fica fazendo protocolo tudo o que o papel manda e o que vcs fazem . pra fazer uma liberacao de entrada ou saida demora um pouco mais de tres horas esperando a central liberar uma agonia pra ficar passando dedo ate pra limpar banheiro . pra ser sincero nao gostei do atendimento nao ja vi melhores . fica muito dependente da central liberar pra executar , e a central e muito lenta pra resolver",QUEIXA,97.69%
na verdade mais a demora e tive probelmas com a autorizacao do plano,QUEIXA,97.69%
"acho que as pessoas tem que ser mais cordial, atenciosas e mais ser humano.",QUEIXA,98.12%
foi bom atendimento,OUTROS,85.05%
fala pra gente chegar muito cedo a gente chega e fica muitas horas esperando,QUEIXA,95.37%
muita demora no atendimento,QUEIXA,98.07%
ele deu entrada cm um infarto. o atendimento demorou muito. urgencia e urgencia mas deus e maravilhoso achei que demorou pra atender ele,QUEIXA,97.29%
pouca argilidade,OUTROS,68.94%
demora no atendimento,QUEIXA,97.91%
"nao tinha recepcionista na 2 recepcao, sem saber c quem falar, ?",QUEIXA,97.75%
nao fui assistida em momento algum,QUEIXA,94.79%
"da hora em que dei entrada no hospital, ate a subida para a sala de cirurgia, foi muito demorado, estava marcado para as 16h o maqueiro so chegou as 15, e eu dei entrada no hospital as 11hs da manha, foram 4 horas de espera , aguardando o maqueiro, totalmente insatisfeita com a organizacao",QUEIXA,98.15%
"primeiro nao fiz nem uma cirurgia. foi um exame, colonoscopia .no primeiro dia de internacao muito mal recepcionado na enfermaria.",QUEIXA,98.0%
ao chegar no pa derby nao chegou nem uma recepcionista para auxiliar no totem,QUEIXA,98.05%
cheguei com muita dor e nao tinha ninguem pra recepcionar na entrada e nao sabia o que ia fazer primeiro onde entrar e etc,QUEIXA,98.15%
chegamos fizemos a,OUTROS,88.47%
a equipe de recepcao nao sabiam tratar da internacao tive que aguardar muito o que atrasou o horario da cirurgia durante o procedimento cirurgico houve uma intercorrencia da entrada de outro paciente insatisfeito com a equipe no qual quis reivindicar seus direitos querendo adentrar ao centro cirurgico causando desestabilizacao de toda equipe,QUEIXA,97.26%
quase 2 horas na recepcao aguardando para ser admitida e avomidata no quarto,QUEIXA,98.25%
nao tinha recepcionista e so o seguranca,QUEIXA,96.61%
"estava infartando e so um recepcista para no momento do atendimento, tirando duvida de outras pessoas.",QUEIXA,97.0%
quem ta respondendo e mae dele,OUTROS,84.12%
"cheguei as 16 30 h para uma cirurgia que iria acontecer as 18h e so me colocaram no quarto apos as 18h me operei de histerectomia, me colocaram num quarto com uma mulher que havia acabado de ganhar bebe 1f476 , ainda nao fui operada no dia , passei a noite sem dormir com a crianca chorando , foi terrivel pra mim , so me colocaram em outro quarto apos eu ser operada ! nunca vi isso , a pessoa ir fazer uma cirurgia de histerectomia e ficar no quarto com quem ganha bebe. decepcao total gente , que que isso , nao facam mais isso , tenham empatia",QUEIXA,98.25%
demora na assistencia,QUEIXA,97.31%
"funcionarias nao dao atencao, ficam conversando e fazem pouco caso de voce. onde deveria ser o local onde melhor atendimento, devido ao primeiro acolhimento. no entanto e um pessimo acolhimento.",QUEIXA,94.97%
nao tinha leito,QUEIXA,97.89%
recepcionista nao soube informar da forma correta o 1f9d0,OUTROS,80.85%
demora n atendimento,QUEIXA,97.64%
demora atendimento,QUEIXA,97.64%
muita demora!,QUEIXA,98.08%
custa muito o atendimento,OUTROS,74.87%
a espera,QUEIXA,96.6%
nao tenho interesse,OUTROS,82.79%
demora no atendimento e a desorganizacao para o internamento,QUEIXA,97.84%
"nao vejo muita empatia pela gestante que chega ja com dores ou por uma perda ou outro tipo de dor. seria bom criar uma acolhimento na chega com um psicologo, poltronas confortaveis, abertura do atendimento com um funcionario abrindo com a gestante ja acolhida e logo aposta ir para consulta de emergencia, mas o que falta e isso empatia e acolhimento. como falei tem que tem o acolhimento da chegada ate a saida, nao tem funcionario pra ficar pegando digitais, pois bom tem para acolher e agilizar o quanto antes do atendimento, fiquei mais de 12 horas sem comer e beber pra fazer a cirurgia e nesse espaco de tempo tomei cha de cadeira e dura.",QUEIXA,98.14%
recepcao muito aglomerada. esperei muito tempo para um leito ser liberado para a internacao.,QUEIXA,97.98%
a portaria estava fechada,OUTROS,66.86%
"eu fiquei aguardando,e demorou a me chamar,e eu estava com muita dor",QUEIXA,98.07%
demora mo atendimento da triagem,QUEIXA,96.98%
os funcionarios de vcs ate pra dar uma informacao quase eles nao abrem a boca pra falar como se agente estivesse pedindo algo sendo q vamos ali pq e o jeito,QUEIXA,97.82%
"o atendimento foi demorado e na recepcao nos orientaram para deixar as malas no chao pq nao podia subir, visto q la onde vamos esperar para assistir o parto tem lugar. ai quando fomos para o quarto um transtorno, pois nao tinha como ir busca lo",QUEIXA,98.1%
a parte administrativa sao e perdidos.,OUTROS,56.34%
"motivo e me subiram para o pre operatorio as 10hs da manha e foram me fazer a cirurgia as 16hs fiquei sentado em uma cadeira por 6hs, sem nenhuma explicacao, porque fazem isto, o horario da internacao foi as 8hs da manha",QUEIXA,98.18%
"alem da liberacao demorar horas e horas, quando cheguei no onix, a liberacao foi feita em nome do meu dependente. o que me fez esperar ainda mais.",QUEIXA,97.49%
demora pra fazer a internacao...,QUEIXA,98.24%
"a recepcionista demostrava esta de mal humor. a digital tanto da minha filha quanto a de outra paciente estava dando erro, e ao pedimos ajuda a ela, ela foi hostil.",QUEIXA,97.38%
recepcionista mal humorada e demora pra ir ao leito,QUEIXA,98.2%
"agilidade, presteza",OUTROS,83.17%
desculpa 4,ELOGIO,97.65%
"muita demora para uma pessoa que estava passando mal e sobre internacao. que internacao fica 24 hrs em uma cadeira aguardando a liberacao de um quarto e depois chegar e dizer que recebeu alta. um lixo. ha e sobre cirurgia, qual? nao fez nenhuma nem internado fico",QUEIXA,98.24%
nao foi feita cirurgia nenhuma,QUEIXA,96.1%
demora no atendimento,QUEIXA,97.91%
a recepcionista nao foi muito atenciosa,QUEIXA,94.97%
passei muito tempo na medicacao ate subir pr sala de cirurgia pq nao tinha leito na observacao,QUEIXA,98.19%
fui na primeira recepcao ai mandou ir pra outra ai eu fui chegando la disse que era na primeira voltei la ai fui atendida depois encaminhada la pro posto de enfermagem que demorou mais de 2 horas pra fazer a internacao,QUEIXA,97.93%
demora,QUEIXA,98.06%
so que me deu atencao foi seguranca boa pessoa,QUEIXA,92.8%
demorou,QUEIXA,96.83%
muita demora,QUEIXA,98.08%
a recepcionista so me mandou ir ao toten e nao me ajudou.,QUEIXA,94.51%
recepcionista nao soube informar se o medico que estava procurando estava no hospital.,QUEIXA,97.63%
"informacoes erradas, pedindo pra eu ir em outro lugar, que nao era onde estava. fui em 2 lugares diferentes ate voltar no inicio e ser atendida",QUEIXA,97.79%
a demora,QUEIXA,98.06%
a chegada ao hospital foi tranquila,OUTROS,88.69%
"experiencia que considerei extremamente desgastante e preocupante durante meu atendimento na unidade hospitalar do hapvida. no dia 08 08, dei entrada no hospital por volta das 15h, ja apresentando contracoes e sinais claros de que estava em trabalho de parto. informei essa condicao a atendente logo na chegada, solicitando prioridade no atendimento, como e de direito das gestantes em trabalho de parto. apos aguardar alguns minutos sem ser chamada, percebi que pacientes prioritarios tambem nao estavam sendo atendidos com a devida urgencia. solicitei, entao, que meu esposo se dirigisse ate o balcao para verificar a situacao, momento em que foi constatado que eu nao havia sido registrada como prioridade, o que atrasou ainda mais o inicio do meu atendimento. somente as 23h30 fui encaminhada a sala de observacao, quando atingi 5 cm de dilatacao. ressalto que foram mais de 8 horas de espera em uma sala de recepcao, em condicoes de grande desconforto fisico e emocional, especialmente considerando que eu ja estava em trabalho de parto. gostaria de sugerir que o hapvida revise seus protocolos de acolhimento e atendimento as gestantes. e essencial que mulheres que chegam em trabalho de parto sejam encaminhadas o quanto antes para um ambiente adequado, como a sala de observacao, garantindo maior conforto, seguranca e dignidade neste momento tao delicado. acredito que essa melhoria nao apenas traria mais humanizacao ao atendimento, como tambem reduziria riscos tanto para a mae quanto para o bebe.",QUEIXA,98.08%
"falta de comunicacao da minha internacao, que ja estava liberada desde meia noite meu leito porem so fui para o quarto apos as tres da madrugada, isso porque nao teve ninguem que avisasse que o leito estava disponivel desde a meia noite",QUEIXA,98.1%
tiro e boto catete,OUTROS,85.24%
atraso de mais 6 horas pra fazer meu parto,QUEIXA,98.04%
demora fazer a internacao,QUEIXA,98.12%
"falta de comprometimento contratei o apartamento e nos colocaram na enfermaria, descumprindo com o servico contratado",QUEIXA,97.38%
poderia ter sido um pouco mais agil o atendimento,QUEIXA,97.48%
demorado e recepcionista de cara feia ao atender,QUEIXA,97.59%
"primeiro ele foi internado e teve que retornar por que deram alta no sistema por falar de leito, que grande absurdo pelo valor que pago.em vez de mandar pra enfermaria mandou pra casa fazendo com que fosse quebrado o circulo do tratamento onde tive que retornar com ele pela segunda vez quandro infecciosos. segundo, o planos nao esta fazendo a liberacao dos procedimentos que pra ser feito. tanto da troca de sonda quanto de uma tomografia,onde tenho que pagar do meu bolso por que o plano nao cobre algo simples.",QUEIXA,97.94%
hoje consulta marcada no hospital humaniza as 9 50. a ambulancia nao veio no horario ta 4 horas atrasada. ja passou o horario da consulta.,QUEIXA,97.45%
demora para realizar a internacao,QUEIXA,98.08%
"o seguranca que fica dentro do hospital, foi extremamente grosseiro com um dos pacientes, so porque ela perguntou como retirava a senha.",QUEIXA,96.53%
"quanto a chegada, foi tranquilo. atendimento inicial foi rapido, mas o processo ate o diagnostico, e depois para ser informada sobre a cirurgia, foi demorado. mas os profissionais foram atenciosos e ocorreu tudo bem.",OUTROS,82.22%
falta de comunicacao da recepcionista,QUEIXA,97.5%
pq eu comuniquei q tinha uma cirurgia marcada e o recepcionista me mandou para triagem errado fiquei fui atendida passei com o medico e mesmo informando o motivo q estava no hospital fui encaminhada para sala errado a ponto da enfermeira quase por uma acesso sem saber oq estava fazendo,QUEIXA,97.21%
demora,QUEIXA,98.06%
desculpa1,OUTROS,85.24%
os relatos estao a cima por favor leia,OUTROS,50.06%
"a demora , tinha horario marcado mas nao fui atendida no horario que marcou a cirurgia. fiquei mais de 15 horas em jejum.",QUEIXA,98.06%
demora no encaminhamento,QUEIXA,98.13%
a falta de cortesia da parte de quem trabalha la,QUEIXA,97.36%
"cheguei debilitada e usar o totem sozinha e dificil, estava com contracao de dois em dois minutos.",QUEIXA,93.19%
desculpa,ELOGIO,97.65%
muita demora,QUEIXA,98.08%
hospital mega desorganizado e fiquei dias a amis por estra com uma maquina de exame quebrada,QUEIXA,96.43%
nao foi realizado cirurgia,QUEIXA,94.76%
demora no atendimento.,QUEIXA,97.91%
"ja relatei anteriormente, que minha mae entrou no hospital e ja nao tinha uma cadeira de rodas especifica para obesos para transporta la, entao colocaram ela em uma cadeira menor que causou um grande desconforto para ela.",QUEIXA,98.16%
muita demora,QUEIXA,98.08%
nao ha nenhum funcionario na parte de fora do hospital prestando auxilio a pessoas com necessidades especiais que estao sozinhas de uber por exemplo,QUEIXA,97.25%
"minha mae faleceu, nao sei por que da pesquisa",QUEIXA,96.39%
parecia que era um atendimento no sus,QUEIXA,96.37%
falta de simpatia no atendimento,QUEIXA,97.84%
nao tenho interesse,OUTROS,82.79%
demorado,QUEIXA,96.22%
"minha esposa estava com dor intensa, causada por neuralgia intercostal, mas nao nos deixaram entrar pela emergencia.",QUEIXA,97.65%
achei meio desorganizado com certa demora,QUEIXA,95.23%
demora no atendimento,QUEIXA,97.91%
opa coloquei errado fiquei muito satisfeita! fui bem atendida,ELOGIO,99.8%
"a demora ao atendimento, fiquei na recepcao das 10 30 ate as 16 00 para depois subir para o quarto",QUEIXA,98.2%
demorou muito pra abrir ficha e me chamarem,QUEIXA,96.05%
espera,QUEIXA,96.6%
cheguei em abundancia nao sentir atendimento,QUEIXA,97.45%
nao tinha maqueiro,QUEIXA,97.33%
pouco acolhimento. meu carro foi arrombado no estacionamento do hospital,OUTROS,87.56%
"hospital lotado, nao tinha um controlista de acesso, classificacao de risco, uma desordem e caos total",QUEIXA,96.93%
demora na leitura do totem.,QUEIXA,98.04%
"mandaram chegar as 13 hrs,mas quando chegamos la a moca falou que so comecava o internamento as 13 30 hrs",QUEIXA,96.24%
nao tivemos problemas com a chegada,QUEIXA,94.38%
estacionamento,OUTROS,50.46%
nao tinha porteiro no momento e na recepcao o totem nao pegou como sempre acontece.,QUEIXA,97.71%
as vezes nao pergunta que desejamos,QUEIXA,97.76%
nao tive suporte,QUEIXA,97.01%
ninguem sabia informar o local certo do procedimento. ja estivemos no local uma vez porem nao sabiamos ao certo onde era esse procedimento. fomos em todas as entradas e ninguem sabia. a ultima que fomos nos foi direcionado um local no final do corredor onde fomos informados depois do acesso ao sistema que era la.,QUEIXA,96.82%
falta de organizacao no atendimento e os atendentes nao observam se ha preferencias para atendimento.,QUEIXA,97.63%
"pouco espaco pra espera, e muita gente. alem da sala de espera do andar do bloco cirurgico suja e desconfortavel.",QUEIXA,97.63%
muito confuso e baguncado,OUTROS,74.67%
"para fazer a ficha foi rapido, o que demorou foi para subir para a sala de cirurgia, a equipe de enfermagem estava desfalcado no dia. cheguei 05 30 da manha e fui fazer a cirurgia umas 16h",QUEIXA,97.91%
nao tive atendimento com maqueiro,QUEIXA,97.21%
"nao havia porteiro,entram e saem do hospital a vontade,perigoso isso.",QUEIXA,96.35%
bom dia,OUTROS,67.39%
"faltou de imediato ,pq e muito idosa minha mae de 97 anos, e nao tinha ainda 1 cadeira de rodas....",QUEIXA,97.8%
atendimento fraco e moroso as cirurgias poderiam ter a hora marcada nao sendo necessario chegar as 5 30 da manha e ser operado as 17 00 horas o que sacrifica o paciente e mais ainda o acompante,QUEIXA,97.87%
nao dao atencao devida principalmente na emergencia,QUEIXA,94.26%
recepcao muito demorada,QUEIXA,94.11%
demora no atendimento para reconhecimento facial,QUEIXA,98.16%
os funcionarios dispersos,OUTROS,87.76%
"desinformacao a estrutura para os doutores trabalharem 0 mais gracas a deus a equipe em si otima, tanto e que farei outra cirurgia mais longe dai",OUTROS,89.01%
as atendentes nao olham na cara do paciente. e sao mal humoradas.,QUEIXA,97.17%
nao gostei da recepcionista,OUTROS,87.46%
demora no atendimento,QUEIXA,97.91%
"ja era mais de 6 30 e nao podia entrar pela portaria da avenida era na lateral, nao tinha ninguem para orientar, pedi informacao para um faxineiro!!",QUEIXA,97.88%
"o portao principal estava quebrado, e nao tinha indicacao como chegar no local",QUEIXA,97.4%
apesar da urgencia e ausencia de filas e pacientes muita demora ate chegar ao atendimento medico,QUEIXA,98.06%
nao saia o papel no totem e um cheiro muito forte de cigarro na recepcao,QUEIXA,97.62%
muito lotado,OUTROS,86.72%
a demora no atendimento.,QUEIXA,97.91%
nao tenho interesse,OUTROS,82.79%
demora no atendimento,QUEIXA,97.91%
fiquei muito tempo ma recepcao aguardando para ser internada,QUEIXA,97.69%
"nao foi realizado cirurgia, somente internacao para medicacao so que fui encaminhado para cirurgia com urologista e nao tem essa especialidade. so foi possivel o atendimento com a especialidade com 24 horas apos a entrada. sendo que onde fui atendido ma emergencia tinha a especialidade e me transferiram para.um local que nao tinha o profissional.",QUEIXA,98.18%
"recepcionista ignorante, grossa",OUTROS,82.69%
"a falha na comunicacao dos processos, cheguei a ficar 12 horas aguardando todo um processo de internacao, perderam uma amostra de urina da primeira vez. o atendimento e otimo nessa parte.",QUEIXA,93.66%
"entrei pela emergencia e ate localizar onde deveria ir, foi dificil e complicado... ainda mais que eu estava usando muleta, minha mobilidade esta comprometida",QUEIXA,96.67%
o atendimento demora e a recepcionista muito ignorante,QUEIXA,97.01%
"houve uma troca indevida do meu prontuario e por isso foi feito acerto, porem tive que esperar mais e quem chegou depois de mim foi atendido antes",QUEIXA,97.54%
demorou para eu ser atendida mesmo com o horario marcado.,QUEIXA,97.85%
meu marido estava infartado e demorou muito para ser atendido,QUEIXA,96.97%
ela nao passou por cirurgia,QUEIXA,97.78%
totem nao funciona e precisamos ficar perguntando para os atendentes que estao ocupados.,QUEIXA,95.46%
"eu cheguei ao hospital de ambulancia vindo de uma transferencia do hospital modelo de sorocaba, ao chegar dei entrada pelo ps entrada de ambulancia , me fizeram descer da maca ir ate a recepcao para fazer uma nova triagem como se eu estivesse chegando no hospital com meios proprios, passei pela medica e precisei aguardar a liberacao de internacao, sendo que eu ja estava internada em sorocaba e fui transferida para o hospital de sao paulo. ao meu ver eu nao deveria ter que passar por toda essa triagem novamente. cheguei ao hospital por volta das 21h e so fui encaminhada para o quarto por volta das 4h da manha. por essa razao acho que deveria ser melhorado o procedimento neste ponto, se ha uma transferencia de hospitais dentro da rede propria ao chegar no hospital ja deveria ser direcionada ao quarto",QUEIXA,98.09%
demorou muito o atendimento,QUEIXA,95.21%
as enfermeiras foram incriveis mas houve uma demora para me subir para sala de parti,QUEIXA,97.91%
atraso na internacao,QUEIXA,96.45%
"fui a uma unidade e a medica me recomendou ir para a a outra unidade, chegando la nao consegui acessar pelo totem estava bloqueado para um novo atendimento. ai tive que aguardar um tempao para receber uma senha e fazer um cadastro sofrendo com colicas renais.",QUEIXA,97.81%
apenas o tempo de espera,QUEIXA,97.74%
processo bem lento falta vontade de ajudar dos funcionarios,QUEIXA,94.76%
3 medio,OUTROS,85.24%
recepcao,QUEIXA,96.03%
atendimento pessimo do recepcionista,QUEIXA,95.6%
